order_id,product_id,quantity,item_price
1,190,1,30245
2,141,2,10278
2,86,2,38735
2,131,2,36346
3,182,2,24420
4,46,1,37216
4,117,3,10724
4,149,3,26031
5,28,3,39563
5,101,2,32850
6,32,1,24519
6,155,1,25692
6,93,2,41514
7,14,3,10774
7,101,1,32850
8,23,2,32445
8,89,1,21699
9,119,3,15980
9,182,3,24420
9,15,1,43933
10,119,2,15980
11,89,3,21699
11,195,2,30134
11,158,3,45503
12,41,2,46065
12,51,2,5628
12,180,3,48059
13,40,1,38128
13,46,3,37216
13,170,3,39740
14,14,2,10774
14,99,3,33835
15,143,2,17709
15,70,1,16567
15,193,1,1240
16,75,1,2188
17,91,2,20961
18,74,2,19705
18,4,1,1374
18,105,2,47083
19,140,3,26329
19,65,1,42625
19,56,2,24140
20,21,3,34297
21,116,1,13882
21,32,2,24519
22,37,1,45407
23,34,1,29599
23,47,2,1571
24,130,3,44185
24,15,1,43933
25,193,1,1240
25,69,1,34608
26,84,3,46587
27,121,2,3739
27,117,1,10724
27,162,3,37448
28,141,2,10278
28,169,1,30307
29,151,1,29899
29,50,3,41168
30,150,2,42928
30,120,2,42554
30,163,3,14508
31,114,2,45820
31,78,3,29573
32,190,1,30245
32,133,3,38944
33,152,3,29499
34,46,2,37216
34,92,2,36353
35,181,2,6672
36,84,3,46587
36,45,3,16624
37,189,3,9595
37,46,1,37216
38,74,3,19705
38,86,2,38735
38,123,2,3064
39,106,1,6320
39,103,1,10233
39,54,2,25831
40,168,3,47483
40,80,2,39218
41,55,2,18401
41,71,2,28021
41,23,2,32445
42,196,3,17999
42,66,2,39463
42,92,1,36353
43,165,1,14483
43,114,2,45820
43,159,3,39179
44,151,2,29899
44,182,1,24420
45,86,1,38735
45,30,1,22654
45,108,1,5618
46,178,2,300
46,105,1,47083
46,123,3,3064
47,150,3,42928
47,100,1,47667
47,66,1,39463
48,49,3,25475
48,101,1,32850
49,150,3,42928
50,156,3,48981
50,71,2,28021
50,57,1,31347
51,116,2,13882
51,155,3,25692
51,142,2,41435
52,200,2,26353
52,20,1,9571
52,69,3,34608
53,196,2,17999
54,48,1,33786
54,154,2,7685
54,58,3,14936
55,109,1,22816
55,199,3,14421
55,200,1,26353
56,187,1,19794
56,197,2,46363
57,44,3,46706
58,37,2,45407
58,21,3,34297
59,53,1,4686
59,186,2,27660
59,170,2,39740
60,45,1,16624
60,70,3,16567
61,33,1,4436
62,48,2,33786
62,52,2,30622
63,198,2,4447
63,123,2,3064
64,34,2,29599
64,54,2,25831
65,159,3,39179
66,14,3,10774
66,44,1,46706
67,83,1,18384
67,127,3,49842
68,139,3,33667
68,138,1,38414
68,47,1,1571
69,185,1,5287
69,115,3,36220
69,132,1,2929
70,154,1,7685
71,129,2,32558
