order_id,customer_id,order_date,order_status
1,3092,2021-01-31,Completed
2,4075,2022-03-19,Cancelled
3,3379,2021-06-29,Completed
4,4725,2021-02-15,Returned
5,517,2023-02-28,Cancelled
6,2307,2023-01-07,Cancelled
7,1661,2023-04-02,Cancelled
8,200,2022-11-19,Cancelled
9,1541,2021-08-29,Returned
10,3670,2023-04-10,Completed
11,362,2023-06-14,Returned
12,3567,2022-07-27,Returned
13,4003,2023-03-22,Completed
14,388,2021-10-21,Cancelled
15,725,2022-09-05,Cancelled
16,3738,2023-04-21,Cancelled
17,4462,2021-06-17,Cancelled
18,3042,2023-01-14,Returned
19,4430,2021-05-30,Cancelled
20,2841,2022-02-21,Completed
21,4754,2022-02-16,Cancelled
22,3830,2021-12-22,Cancelled
23,1210,2023-04-14,Returned
24,4052,2022-11-23,Returned
25,3341,2022-01-04,Cancelled
26,709,2022-09-09,Cancelled
27,1128,2021-12-07,Cancelled
28,3823,2022-04-07,Returned
29,1346,2021-02-13,Cancelled
30,4149,2023-05-31,Returned
31,1189,2022-09-06,Cancelled
32,4426,2022-10-10,Returned
33,1307,2023-05-22,Returned
34,1143,2023-04-16,Completed
35,3247,2021-03-25,Cancelled
36,917,2022-05-29,Returned
37,344,2022-06-17,Completed
38,4715,2021-01-05,Cancelled
39,4510,2022-11-12,Completed
40,1858,2022-12-02,Returned
41,2744,2022-05-16,Completed
42,2667,2023-01-20,Cancelled
43,4493,2022-02-09,Returned
44,3218,2021-08-13,Returned
45,2877,2023-02-07,Cancelled
46,872,2021-08-20,Returned
47,3717,2021-06-09,Returned
48,1543,2023-01-04,Completed
49,4133,2023-03-31,Completed
50,4057,2021-05-28,Completed
51,2512,2021-09-05,Cancelled
52,2482,2023-04-26,Completed
53,4440,2022-10-16,Completed
54,1565,2021-01-25,Completed
55,255,2021-10-30,Completed
56,1697,2021-07-10,Returned
57,585,2021-03-10,Cancelled
58,3708,2021-05-02,Cancelled
59,2929,2022-11-09,Cancelled
60,87,2022-12-16,Returned
61,2460,2021-12-18,Cancelled
62,3072,2021-08-02,Cancelled
63,3511,2022-09-27,Returned
64,3920,2022-10-13,Returned
65,4861,2021-02-12,Returned
66,4026,2021-02-02,Cancelled
67,2619,2021-12-26,Completed
68,2096,2022-12-19,Cancelled
69,3144,2023-02-10,Returned
70,803,2022-03-09,Returned
71,4810,2022-09-28,Cancelled
72,4017,2021-01-28,Cancelled
73,317,2022-05-15,Completed
74,3891,2021-09-16,Returned
75,755,2021-03-26,Completed
76,771,2022-04-11,Cancelled
77,2764,2021-09-05,Returned
78,3845,2021-02-05,Cancelled
79,2538,2022-07-20,Returned
80,3697,2021-08-10,Returned
81,3364,2021-04-08,Completed
82,1052,2022-08-31,Returned
83,232,2022-06-03,Cancelled
84,567,2022-05-30,Completed
85,3795,2021-10-09,Returned
86,4629,2022-02-02,Returned
87,400,2021-09-17,Returned
88,964,2022-12-16,Returned
89,4024,2021-06-28,Cancelled
90,2404,2023-05-25,Completed
91,327,2021-10-25,Returned
92,2715,2022-03-13,Completed
93,1269,2023-05-08,Completed
94,1632,2022-05-09,Cancelled
95,2041,2021-01-06,Cancelled
96,1447,2023-03-03,Cancelled
97,360,2021-11-06,Completed
98,1831,2021-12-15,Returned
99,4781,2023-05-16,Cancelled
100,1874,2023-01-01,Cancelled
101,952,2021-04-14,Completed
102,1141,2021-05-16,Returned
103,4958,2022-07-31,Completed
104,3589,2022-05-24,Cancelled
105,3523,2021-01-22,Returned
106,4303,2022-12-12,Cancelled
107,4453,2021-04-19,Cancelled
108,3881,2021-02-04,Cancelled
109,3575,2022-07-25,Returned
110,3460,2021-03-10,Completed
111,715,2021-09-27,Returned
112,2930,2022-05-02,Cancelled
113,4155,2021-09-07,Completed
114,992,2021-01-25,Completed
115,708,2022-08-08,Completed
116,1610,2022-04-02,Returned
117,4473,2022-01-18,Returned
118,2155,2022-05-05,Completed
119,1520,2022-08-20,Cancelled
120,950,2022-07-28,Completed
121,1903,2021-07-27,Completed
122,2461,2021-05-17,Returned
123,3201,2021-01-12,Cancelled
124,492,2022-06-07,Completed
125,924,2022-06-22,Returned
126,2179,2022-08-23,Returned
127,73,2021-11-07,Completed
128,2618,2021-09-07,Cancelled
129,1750,2021-07-13,Returned
130,3890,2022-05-05,Cancelled
131,1755,2021-04-12,Completed
132,3178,2022-07-21,Returned
133,4436,2023-05-30,Completed
134,1197,2022-11-15,Completed
135,4177,2021-05-29,Completed
136,3914,2022-06-10,Completed
137,4638,2021-06-18,Completed
138,3388,2023-05-10,Returned
139,2964,2021-08-19,Cancelled
140,3330,2021-03-03,Cancelled
141,352,2023-06-11,Cancelled
142,3233,2021-01-29,Completed
143,3062,2022-02-05,Cancelled
144,4968,2023-05-07,Completed
145,1044,2022-05-06,Returned
146,4175,2022-02-21,Returned
147,1289,2021-09-05,Returned
148,4271,2021-10-22,Cancelled
149,615,2022-03-20,Returned
150,254,2022-03-04,Completed
151,4602,2021-03-28,Returned
152,1193,2023-03-03,Returned
153,328,2022-01-14,Cancelled
154,3222,2021-10-15,Cancelled
155,2798,2021-11-07,Returned
156,4959,2021-12-01,Cancelled
157,3850,2022-06-08,Cancelled
158,3163,2023-02-15,Returned
159,4830,2022-12-13,Returned
160,4958,2022-09-06,Returned
161,4703,2021-05-21,Cancelled
162,2762,2021-04-04,Returned
163,4012,2021-12-17,Returned
164,4236,2022-09-24,Returned
165,516,2021-09-15,Returned
166,2198,2021-10-05,Cancelled
167,4870,2022-06-10,Completed
168,2565,2021-11-28,Completed
169,4637,2021-07-15,Cancelled
170,2510,2021-07-16,Cancelled
171,4241,2022-11-24,Cancelled
172,2282,2021-09-28,Returned
173,3473,2022-11-17,Returned
174,1543,2023-02-26,Returned
175,1141,2023-04-02,Returned
176,2417,2021-07-14,Returned
177,2962,2022-12-31,Returned
178,4530,2021-11-25,Completed
179,3791,2022-08-19,Returned
180,1421,2021-05-01,Returned
181,2388,2022-10-16,Completed
182,1686,2022-09-05,Returned
183,2764,2021-07-07,Returned
184,4072,2022-01-19,Completed
185,3209,2022-05-11,Returned
186,2218,2022-08-05,Cancelled
187,4403,2021-12-16,Completed
188,2087,2022-09-13,Completed
189,2069,2021-05-08,Cancelled
190,4512,2022-02-07,Completed
191,546,2021-07-13,Cancelled
192,4056,2022-04-11,Returned
193,4781,2023-04-21,Cancelled
194,4188,2022-08-05,Cancelled
195,1632,2021-09-30,Completed
196,3504,2022-10-06,Cancelled
197,4877,2021-04-21,Cancelled
198,3582,2022-02-01,Cancelled
199,979,2021-05-24,Completed
200,1007,2022-01-06,Completed
201,337,2023-05-18,Completed
