payment_id,order_id,payment_method,payment_date,amount
1,1,Digital Wallet,2021-01-31,85613
3,3,Digital Wallet,2021-06-29,119394
10,10,Digital Wallet,2023-04-10,111829
13,13,Cash on Delivery,2023-03-22,149199
20,20,Cash on Delivery,2022-02-21,76789
34,34,Cash on Delivery,2023-04-16,59839
37,37,Cash on Delivery,2022-06-17,112075
39,39,Bank Transfer,2022-11-12,38550
41,41,Cash on Delivery,2022-05-16,120337
48,48,Digital Wallet,2023-01-04,137397
49,49,Digital Wallet,2023-03-31,43613
50,50,Digital Wallet,2021-05-28,87592
52,52,Cash on Delivery,2023-04-26,35621
53,53,Bank Transfer,2022-10-16,10291
54,54,Digital Wallet,2021-01-25,26537
55,55,Cash on Delivery,2021-10-30,78896
67,67,Cash on Delivery,2021-12-26,43546
73,73,Bank Transfer,2022-05-15,120480
75,75,Cash on Delivery,2021-03-26,50641
81,81,Cash on Delivery,2021-04-08,148953
84,84,Digital Wallet,2022-05-30,68530
90,90,Digital Wallet,2023-05-25,8937
92,92,Cash on Delivery,2022-03-13,31398
93,93,Digital Wallet,2023-05-08,94885
97,97,Cash on Delivery,2021-11-06,28444
101,101,Cash on Delivery,2021-04-14,97052
103,103,Bank Transfer,2022-07-31,124668
110,110,Digital Wallet,2021-03-10,123932
113,113,Bank Transfer,2021-09-07,114669
114,114,Bank Transfer,2021-01-25,109332
115,115,Digital Wallet,2022-08-08,52684
118,118,Bank Transfer,2022-05-05,28093
120,120,Cash on Delivery,2022-07-28,49047
121,121,Digital Wallet,2021-07-27,18955
124,124,Digital Wallet,2022-06-07,96538
127,127,Digital Wallet,2021-11-07,15085
131,131,Bank Transfer,2021-04-12,45514
133,133,Digital Wallet,2023-05-30,72983
134,134,Cash on Delivery,2022-11-15,138420
135,135,Cash on Delivery,2021-05-29,79464
136,136,Digital Wallet,2022-06-10,20265
137,137,Cash on Delivery,2021-06-18,148059
142,142,Cash on Delivery,2021-01-29,84643
144,144,Bank Transfer,2023-05-07,124304
150,150,Cash on Delivery,2022-03-04,89602
167,167,Cash on Delivery,2022-06-10,113514
168,168,Cash on Delivery,2021-11-28,99613
178,178,Bank Transfer,2021-11-25,48766
181,181,Digital Wallet,2022-10-16,72032
184,184,Cash on Delivery,2022-01-19,36833
187,187,Digital Wallet,2021-12-16,147895
188,188,Digital Wallet,2022-09-13,57034
190,190,Bank Transfer,2022-02-07,109659
195,195,Cash on Delivery,2021-09-30,89989
199,199,Cash on Delivery,2021-05-24,41269
200,200,Bank Transfer,2022-01-06,139490
201,201,Cash on Delivery,2023-05-18,89272
203,203,Digital Wallet,2021-10-02,126270
205,205,Cash on Delivery,2021-07-29,138751
206,206,Bank Transfer,2021-03-03,117389
209,209,Digital Wallet,2021-08-25,119135
211,211,Digital Wallet,2021-12-29,86187
213,213,Cash on Delivery,2021-11-21,138211
216,216,Digital Wallet,2021-06-14,145919
219,219,Cash on Delivery,2021-04-08,143518
220,220,Digital Wallet,2021-08-15,53435
221,221,Cash on Delivery,2022-09-17,72304
223,223,Digital Wallet,2021-01-04,111177
226,226,Cash on Delivery,2021-08-07,18159
227,227,Digital Wallet,2023-05-18,59868
234,234,Digital Wallet,2021-11-26,58465
238,238,Bank Transfer,2022-12-22,58063
251,251,Cash on Delivery,2022-03-11,98032
254,254,Cash on Delivery,2022-05-06,107256
257,257,Bank Transfer,2023-05-17,149488
258,258,Digital Wallet,2022-01-09,74168
265,265,Digital Wallet,2023-06-11,66776
267,267,Digital Wallet,2022-06-18,147331
268,268,Bank Transfer,2023-06-12,120454
271,271,Cash on Delivery,2022-03-10,118090
272,272,Digital Wallet,2021-01-18,2498
273,273,Bank Transfer,2022-12-31,85729
274,274,Digital Wallet,2023-03-03,41986
275,275,Bank Transfer,2023-04-17,142910
279,279,Cash on Delivery,2021-09-09,118367
280,280,Cash on Delivery,2023-05-26,128506
281,281,Bank Transfer,2022-06-10,111155
282,282,Bank Transfer,2022-06-01,95456
283,283,Cash on Delivery,2021-05-19,47879
284,284,Cash on Delivery,2022-04-26,115386
288,288,Bank Transfer,2022-12-29,1350
290,290,Bank Transfer,2023-02-12,30587
291,291,Cash on Delivery,2022-01-22,130027
299,299,Digital Wallet,2022-02-22,143720
301,301,Digital Wallet,2023-04-05,76199
307,307,Bank Transfer,2021-07-23,103896
311,311,Digital Wallet,2021-09-08,99906
316,316,Bank Transfer,2022-03-02,85842
323,323,Bank Transfer,2022-05-04,135008
326,326,Bank Transfer,2021-06-19,79734
328,328,Bank Transfer,2021-10-04,37628
329,329,Cash on Delivery,2022-06-06,82275
330,330,Digital Wallet,2022-01-16,98291
338,338,Bank Transfer,2022-06-03,84572
342,342,Digital Wallet,2021-05-28,15893
345,345,Bank Transfer,2021-02-12,66415
346,346,Cash on Delivery,2021-01-13,42065
348,348,Digital Wallet,2022-03-04,72708
350,350,Bank Transfer,2021-08-04,55454
351,351,Digital Wallet,2021-06-17,10059
361,361,Cash on Delivery,2022-06-24,97790
364,364,Bank Transfer,2021-08-20,82477
369,369,Digital Wallet,2021-04-20,47866
370,370,Digital Wallet,2021-08-17,16905
371,371,Digital Wallet,2022-04-21,31279
375,375,Cash on Delivery,2021-11-03,84487
377,377,Digital Wallet,2022-11-10,7862
382,382,Cash on Delivery,2021-11-12,118851
384,384,Bank Transfer,2022-08-26,97340
385,385,Digital Wallet,2022-03-17,149193
